+COORDENADAS DE LA SILUETA — BRATTYPOLITAN EXPERIENCE
Referencia curada V2: mujer constelación. Coordenadas normalizadas 0–1.
FORMATO: ID | X_norm | Y_norm | brillo_0_255 | grupo | tamano
GRUPOS: cabello, rostro, facciones, cuerpo.
Nota: sólo se incluyen conexiones detectadas de los trazos; los puntos aislados conservan aire y detalle.

PUNTOS
0329 | 0.492000 | 0.574668 | 255 | facciones | 4.0
0330 | 0.550667 | 0.698202 | 255 | cuerpo | 4.0
0331 | 0.114667 | 0.711493 | 255 | cabello | 4.0
0332 | 0.106667 | 0.465989 | 249 | cabello | 3.9
0333 | 0.150667 | 0.437842 | 255 | cabello | 4.0
0334 | 0.390667 | 0.789679 | 249 | cabello | 3.9
0335 | 0.217333 | 0.856138 | 255 | cabello | 4.0
0336 | 0.240000 | 0.551212 | 244 | cabello | 3.9
0337 | 0.185333 | 0.534011 | 246 | cabello | 3.9
0338 | 0.418667 | 0.689601 | 254 | cuerpo | 4.0
0339 | 0.585333 | 0.692729 | 255 | cuerpo | 4.0
0340 | 0.150667 | 0.477717 | 255 | cabello | 4.0
0341 | 0.146667 | 0.779515 | 255 | cabello | 4.0
0342 | 0.057333 | 0.691947 | 243 | cabello | 3.9
0343 | 0.220000 | 0.467553 | 230 | cabello | 3.7
0344 | 0.229333 | 0.491791 | 235 | cabello | 3.8
0345 | 0.530667 | 0.552776 | 255 | facciones | 4.0
0346 | 0.632000 | 0.561376 | 245 | rostro | 3.9
0347 | 0.248000 | 0.599687 | 239 | cabello | 3.8
0348 | 0.180000 | 0.815481 | 250 | cabello | 3.9
0349 | 0.397333 | 0.683346 | 255 | cuerpo | 4.0
0350 | 0.305333 | 0.420641 | 234 | rostro | 3.8
0351 | 0.104000 | 0.512119 | 231 | cabello | 3.7
0352 | 0.154667 | 0.451916 | 242 | cabello | 3.9
0353 | 0.317333 | 0.624707 | 228 | cabello | 3.7
0354 | 0.149333 | 0.598124 | 255 | cabello | 4.0
0355 | 0.550667 | 0.558249 | 245 | facciones | 3.9
0356 | 0.257333 | 0.508991 | 212 | cabello | 3.5
0357 | 0.053333 | 0.568413 | 211 | cabello | 3.5
0358 | 0.144000 | 0.444097 | 210 | cabello | 3.5
0359 | 0.153333 | 0.609851 | 230 | cabello | 3.7
0360 | 0.141333 | 0.522283 | 202 | cabello | 3.4
0361 | 0.318667 | 0.249414 | 194 | cabello | 3.3
0362 | 0.360000 | 0.795934 | 221 | cabello | 3.6
0363 | 0.398667 | 0.770133 | 204 | cabello | 3.4
0364 | 0.276000 | 0.283034 | 192 | cabello | 3.3
0365 | 0.132000 | 0.473808 | 204 | cabello | 3.4
0366 | 0.204000 | 0.823299 | 208 | cabello | 3.5
0367 | 0.240000 | 0.609851 | 191 | cabello | 3.3
0368 | 0.430667 | 0.821736 | 190 | cabello | 3.3
0369 | 0.404000 | 0.598905 | 189 | rostro | 3.3
0370 | 0.069333 | 0.576231 | 188 | cabello | 3.3
0371 | 0.196000 | 0.406568 | 188 | cabello | 3.3
0372 | 0.310667 | 0.545739 | 196 | rostro | 3.4
0373 | 0.382667 | 0.772478 | 194 | cabello | 3.3
0374 | 0.621333 | 0.626270 | 176 | cuerpo | 3.1
0375 | 0.468000 | 0.551994 | 199 | facciones | 3.4
0376 | 0.236000 | 0.529320 | 178 | cabello | 3.2
0377 | 0.220000 | 0.459734 | 171 | cabello | 3.1
0378 | 0.138667 | 0.469898 | 180 | cabello | 3.2
0379 | 0.198667 | 0.645035 | 168 | cabello | 3.0
0380 | 0.120000 | 0.731822 | 187 | cabello | 3.3
0381 | 0.610667 | 0.639562 | 159 | cuerpo | 2.9
0382 | 0.196000 | 0.620798 | 171 | cabello | 3.1
0383 | 0.070667 | 0.609070 | 156 | cabello | 2.9
0384 | 0.514667 | 0.559812 | 187 | facciones | 3.3
0385 | 0.380000 | 0.634871 | 163 | cuerpo | 3.0
0386 | 0.376000 | 0.744332 | 166 | cabello | 3.0
0387 | 0.157333 | 0.491791 | 149 | cabello | 2.8
0388 | 0.245333 | 0.858483 | 163 | cabello | 3.0
0389 | 0.358667 | 0.805317 | 177 | cabello | 3.1
0390 | 0.198667 | 0.709930 | 160 | cabello | 3.0
0391 | 0.132000 | 0.784206 | 158 | cabello | 2.9
0392 | 0.162667 | 0.580923 | 159 | cabello | 2.9
0393 | 0.308000 | 0.478499 | 176 | rostro | 3.1
0394 | 0.149333 | 0.674746 | 163 | cabello | 3.0
0395 | 0.290667 | 0.655199 | 150 | cabello | 2.8
0396 | 0.161333 | 0.621579 | 166 | cabello | 3.0
0397 | 0.437333 | 0.563722 | 165 | facciones | 3.0
0398 | 0.140000 | 0.760751 | 147 | cabello | 2.8
0399 | 0.277333 | 0.681001 | 135 | cabello | 2.7
0400 | 0.152000 | 0.788116 | 159 | cabello | 2.9
0401 | 0.492000 | 0.617670 | 167 | rostro | 3.0
0402 | 0.202667 | 0.650508 | 136 | cabello | 2.7
0403 | 0.376000 | 0.826427 | 142 | cabello | 2.8
0404 | 0.289333 | 0.673182 | 136 | cabello | 2.7
0405 | 0.109333 | 0.695074 | 148 | cabello | 2.8
0406 | 0.130667 | 0.770133 | 140 | cabello | 2.7
0407 | 0.445333 | 0.566849 | 145 | facciones | 2.8
0408 | 0.316000 | 0.639562 | 125 | cabello | 2.6
0409 | 0.165333 | 0.454261 | 121 | cabello | 2.5
0410 | 0.152000 | 0.651290 | 154 | cabello | 2.9
0411 | 0.641333 | 0.553558 | 160 | rostro | 3.0
0412 | 0.164000 | 0.524629 | 109 | cabello | 2.4
0413 | 0.121333 | 0.705238 | 140 | cabello | 2.7
0414 | 0.172000 | 0.515246 | 103 | cabello | 2.3
0415 | 0.256000 | 0.877248 | 117 | cabello | 2.5
0416 | 0.460000 | 0.558249 | 137 | facciones | 2.7
0417 | 0.321333 | 0.648163 | 108 | cabello | 2.4
0418 | 0.281333 | 0.543393 | 102 | cabello | 2.3
0419 | 0.520000 | 0.616888 | 105 | rostro | 2.4
